"track_id","X","length","song","liv_acoust"
"3tTYxjYYcXFqFXA0AZ1Fav",154,3.25,1,0
"09CtPGIpYB4BrO8qb1RGsF",155,3.34645,1,0
"0azC730Exh71aQlOt9Zj3y",156,3.70266666666667,1,0
"4h8VwCb1MTGoLKueQ1WgbD",157,4.12378333333333,1,0
"0E9ZjEAyAwOXZ7wJC0PD33",158,3.076,1,0
"0lHAMNU8RGiIObScrsRgmP",159,4.084,1,0
"0n8ob8S72lvznoVfiwz4qL",160,4.042,1,0
"4r6eNCsrZnQWJzzvFh4nlg",161,3.79821666666667,1,0
"0GzmMQizDeA2NVMUaZksv0",162,3.49555,1,0
"1MlAkYV0nbRKWhhfvTt3zc",163,3.55281666666667,1,0
"1WkMMavIMc4JZ8cfMmxHkI",164,3.95911666666667,1,0
"7C7yqFTM0ncyJ04GIKrxdV",165,4.77203333333333,1,0
"0WfKDYeUAoLA3vdvLKKWMW",166,3.95333333333333,1,0
"22mek4IiqubGD9ctzxc69s",167,3.544,1,0
"61ZM92T2zaXIVsqncThQzC",168,3.47036666666667,1,0
"6TnxdnJcZIwCWiCHq5Qds0",169,3.44066666666667,1,0
"2aFAmDBycyEnj3lcS95JMe",170,3.858,1,0
"0Npijoc6ZcUe1devUugKvI",171,2.7415,1,0
"5gwLIRjGFf3hXuHoKEsWLg",172,2.80911666666667,1,0
"3d4lc8esnUl7Bx9J9d9oty",173,2.5873,1,0
"0U6bQIAh6MCGo1xjbIIx2S",174,3.07596666666667,1,0
"3oIVK7arAFuUOCGafPLxSC",175,3.31238333333333,1,0
"2I4jAMEOEUQD5V1byYCqNS",176,2.65323333333333,1,0
"59QmL8ygKtVfMHmPx3GaBX",177,2.7619,1,0
"5EdYlCWou17k0N1PADLKfO",178,3.06088333333333,1,0
"5MvsfUN0H79C24t3fPepeL",179,3.375,1,0
"7CHi4DtfK4heMlQaudCuHK",180,2.80645,1,0
"1CW7tYkpJ95c7bQkRf6CcK",181,3.07636666666667,1,0
"4bSFPMXKYaCoBhzJv276zl",182,4,1,0
"5AFrctm65wWIqJsjHPPx85",183,3.31398333333333,1,0
"3DsjHcLYMExprXJECT4QQP",184,4.29905,1,0
"7FjZU7XFs7P9jHI9Z0yRhK",185,3.1717,1,0
"5ijpy4l0nKZPIKHui6SQfE",186,2.57756666666667,1,0
"6j8eH9frh703HaGBaSRS6u",187,2.9836,1,0
"79Vz5MNH7Qe4F7hPKT8tPz",188,2.79765,1,0
"65mOk4n0tfrMysFXu12ufx",189,2.57143333333333,1,0
"4w5Grfxx5Rpup6mo5v6bW0",190,3.05305,1,0
"3uiQZlSlSDRduWLFBTSEot",191,3.60426666666667,1,0
"29ikXeGM6kScvhvqfvgiwO",192,2.63485,1,0
"2Eld7kejX6FH9OptVyKQak",193,3.38711666666667,1,0
"3BOcWxFUURAomDXRSDFve4",194,2.99218333333333,1,0
"4YhN72dRYL2Z3MsaKyT7rS",195,3.09905,1,0
"7DQ5CZjAQdhgDgdnSXxJ7Z",196,3.47278333333333,1,0
"2aXA9aQfrqaOi1Wy3NfSZI",197,3.40985,1,0
"62XCV3AmCMkPa9X5mCim8O",198,2.83273333333333,1,0
"5llPdGZJjJFJv9aL6ZaiLY",199,2.87533333333333,1,0
"7pWK1kMgHy5lNNiIfuRbkP",200,3.94608333333333,1,0
"2W9pBY75aWOV39S73mqqbn",201,2.55385,1,0
"1JxQmgCEipmHCUiJS568pE",202,2.78748333333333,1,0
"6pu5jQqenr37n0z6eBKOh0",203,4.86308333333333,1,0
"3RBk0P36O7wCMxF263jRJL",204,3.03333333333333,1,0
"4uRx3SdWG2cNVfRNVPwHDS",205,4.03975,1,0
"3ZRgqoTb7pVO11IxcKGtMo",206,2.96063333333333,1,0
"0DhkTGjEaIHaSxTfC14BFm",207,2.66973333333333,1,0
"4nx4h17pRj1ikT0hZecR8z",208,3.41155,1,0
"1tq4UL9BB7BHuT6eorlX3X",209,3.75266666666667,1,0
"4TIkSdsNSfqpuq6ZYvCjAz",210,3.9723,1,0
"4P7F3kb2Ze1YleD6lUYwJo",211,2.18673333333333,1,0
"3qeJ84Y6PRS9LtliOuT94Z",212,2.83333333333333,1,0
"7sYAS4CpbV90oSemgaEQat",213,2.45045,1,0
"1CRy08G60mS5jvhB27xMpS",214,3.40856666666667,1,0
"02itaCXOdC54J0ISjqqFAp",215,2.464,1,0
"52EB2Gk1nkxZmbomJOXUde",216,2.62221666666667,1,0
"4Jwp3yjIQfudmjuctLQlfJ",217,3.344,1,0
"7N06jo3EnV792VFaG8vuW6",218,2.6799,1,0
"517cAnPxsaxfrkKHHY41wB",219,3.75,1,0
"3GT2CBmJWIEdCpHiB31WYK",220,2.97785,1,0
"7fPuWrlpwDcHm5aHCH5D9t",221,2.93698333333333,1,0
"1rRWFc2p77FYyb67m5YeVO",222,2.3705,1,0
"1LDDUVvutZ3qxvnOrulCBM",223,3.67008333333333,1,0
"2wOVXsIRIoniqipE9I5ZVx",224,2.98585,1,0
"0byab45cmZntz74RxcASrf",225,3.72555,1,0
"4ciBIS83LHQpKf4noVKP51",226,3.27458333333333,1,0
"19TOAlTFq0NDHvUPQR0tkr",227,3.2654,1,0
"6VP3410weACXiPCVLKSkOb",228,3.06556666666667,1,0
"5ql2mP9FUhB3SgMzv2akuO",229,3.25,1,0
"3jwQwGVERUXo7eaAgL1xAo",230,3.2258,1,0
"46W9iEjOg5nkMvb6lo4Jwz",231,2.13043333333333,1,0
"0GRoERSBBky3YgdKW2w2Vc",232,3.06711666666667,1,0
"3sHuIjfAzluc6S9cXoqfqC",233,3.73435,1,0
"4fK2NU9UyQJV74ZGiSVYsr",234,2.92186666666667,1,0
"0jlpHhGUFn4aAWLsRRnwep",235,2.9836,1,0
"2pMntGuRgHAHVtrpC6kgGy",236,3.17741666666667,1,0
"7EHCt2jdVwHp557sfMPosf",237,2.61706666666667,1,0
"5YN0zHycJ0Yxz31A5QsVov",238,3.14426666666667,1,0
"14nIFzHQf1OBWf6VHVR8DF",239,3.48245,1,0
"14sOS5L36385FJ3OL8hew4",240,3.5227,1,0
"23FHa9lYnG6Dr8OzombPkS",241,3.07606666666667,1,0
"06BrHnTVDOydsfg0LZ6mQb",242,2.79983333333333,1,0
"1YSwQvw1NrEPfA0j1iY8eV",243,2.71666666666667,1,0
"1FlIzyCvRFQUE4pc7PiaIo",244,3.09523333333333,1,0
"3eW2EDwNRAiQKkgom96dUa",245,3.36508333333333,1,0
"1k08GK7ox8SDmEMvn81TwU",246,3.056,1,0
"4raMIjIjMc8JohHth7l9lG",247,3.538,1,0
"52Y5nYBQgqawttJxxtUv1e",248,2.93496666666667,1,0
"4R7ZSlYoJOIaxHJFHszQCR",249,3.21895,1,0
"3N9YuL395rE4qNyHMsvOWC",250,3.05568333333333,1,0
"6dX62wjTHi9F1srVTjV89X",251,2.20388333333333,1,0
"0JumfyG7GUshFjxouEXwhw",252,3.27488333333333,1,0
"3Iee2uf8UXOrOupQzfs1z5",253,3.69621666666667,1,0
"6jreFSOTUAViWjKyzOC4Kg",254,3.17158333333333,1,0
"5Qnk8vP5g9l5SDQKU3qyYQ",255,3.22733333333333,1,0
"3Mong1BzxMKwTZ0SbfLdcQ",256,2.6028,1,0
"4huh5oqBz9RkgpzAkyuEAs",257,3.10156666666667,1,0
"4Nu8sEejt46770gDUvFcrF",258,2.83505,1,0
"1IjuevPDJ8Sa97wFwQ5j4V",259,3.27618333333333,1,0
"4d3cCNTG3PUgWhPButc4N7",260,3.00951666666667,1,0
"7r4nPsLToVIPdsiEeZKF6Y",261,3.63006666666667,1,0
"4Tvw0lweq9l2JPQKFbpbBQ",262,3.2067,1,0
"1yAPglN5AGf7UoLK062ZYq",263,3.42755,1,0
"4IAd7Vdwcc1E86P15tXjca",264,2.81666666666667,1,0
"5qiQbOa6AFEO3P111y9Jry",265,3.34821666666667,1,0
"7nbVbGjifh0m2fhPYqcI1R",266,3.78125,1,0
"5NeFmsnXBy6xVbz8pesM5l",267,3.19643333333333,1,0
"6fvbl9D9VjMtLRQsuWPyYt",268,2.90908333333333,1,0
"1MgpEKnO6sgMTb5zumAsgn",269,3.3125,1,0
"06Z7Hy2LUzbcSFmWzwkun1",270,3.44791666666667,1,0
"0EdgK7ASb4kfRkW8pVMN02",271,3.1125,1,0
"2gqzTQEn4g5ly0n5ScdMx0",272,3.91015,1,0
"36orMWv2PgvnzXsd5CJ0yL",273,2.9074,1,0
"6DuE8kXIDJ3oiCibWXmgeN",274,3.1,1,0
"5up5uXChMJLKyuop9HwtCb",275,3.19416666666667,1,0
"4AMY0oGSt7vZwgxDnHCJBr",276,3.067,1,0
"0VQUyufAldw4Eitv71TPmg",277,3.26578333333333,1,0
"0EQeui6OBMzqJ3Z3wCOzZh",278,3.03601666666667,1,0
"1o9D0rUusi2V5idyOEOPII",279,2.94621666666667,1,0
"2neq77lIMkitQwBwy1EDng",280,3.11111666666667,1,0
"5ow0sNF1zSqp71Ix5jEXWU",281,2.7335,1,0
"0vrmHPfoBadXVr2n0m1aqZ",282,4.62103333333333,1,0
"0o9bHFc8Lt5tZFvTjNZTNf",283,2.79853333333333,1,0
"3oN9prOZJ8jR6rFP4YMJF9",284,2.592,1,0
"0Qew3aYvQPGPjfL7gbe6x1",285,3.51733333333333,1,0
"5naYe7rLMZcLfO1DKg48MK",286,2.82445,1,0
"3LaQ1GajOXoUeiTA9UAcCK",287,3.12168333333333,1,0
"3DGar7krWlmrXRFHBcQF6z",288,2.72726666666667,1,0
"5VGBgPVFO3e0lWz4WHYntQ",289,3.00808333333333,1,0
"6sYJuVcEu4gFHmeTLdHzRz",290,3.24363333333333,1,0
"3eS1VMcEmq2IUgpaeDysCb",291,3.29793333333333,1,0
"4fCAOaMs0PYL58OijKp2IS",292,2.9752,1,0
"2mSIu1ZPo22Ihx3EwS4E6h",293,3.01366666666667,1,0
